Arrival Delay (Minutes),destinationstate_0,destinationstate_1,destinationstate_2,destinationlatitude,destinationlongitude,originstate_0,originstate_1,originstate_2,originstate_3,originstate_4,originstate_5,originstate_6,originlatitude,originlongitude,Month,Day,Scheduled Arrival Hour,Scheduled Arrival Minute,Weekdaynum,xs,ys,Month_sin,Month_cos,Day_sin,Day_cos,Weekdaynum_sin,Weekdaynum_cos,HS_Dist,Delayed?,Carrier Code_AA,Carrier Code_DL,Carrier Code_OO,Carrier Code_UA,Carrier Code_WN,Destination Airport_ATL,Destination Airport_DFW,Destination Airport_LAX,Destination Airport_ORD
-17,0,0,1,33.64044,-84.42694,0,0,0,0,0,1,1,33.43417,-112.00806,1,3,15,14,2,-0.748955721,-0.662620048,0.5,0.866025404,0.571268215,0.820763441,0.866025404,-0.5,0,0,1,0,0,0,0,1,0,0,0
-8,0,0,1,33.64044,-84.42694,0,0,0,0,0,1,0,32.89595,-97.0372,1,3,15,57,2,-0.859406412,-0.511293086,0.5,0.866025404,0.571268215,0.820763441,0.866025404,-0.5,0,0,1,0,0,0,0,1,0,0,0
-7,0,0,1,33.64044,-84.42694,0,0,0,0,1,1,1,40.77724,-73.87261,1,3,16,34,2,-0.930417568,-0.366501227,0.5,0.866025404,0.571268215,0.820763441,0.866025404,-0.5,0,0,1,0,0,0,0,1,0,0,0
-18,0,0,1,33.64044,-84.42694,0,0,0,0,1,1,1,40.77724,-73.87261,1,3,22,58,2,-0.267238376,0.963630453,0.5,0.866025404,0.571268215,0.820763441,0.866025404,-0.5,0,0,1,0,0,0,0,1,0,0,0
-21,0,0,1,33.64044,-84.42694,0,0,0,0,0,0,1,35.21401,-80.94313,1,3,14,44,2,-0.656059029,-0.75470958,0.5,0.866025404,0.571268215,0.820763441,0.866025404,-0.5,0,0,1,0,0,0,0,1,0,0,0
11,0,0,1,33.64044,-84.42694,0,0,0,1,0,0,0,39.87195,-75.24114,1,3,20,37,2,-0.774392644,0.632705329,0.5,0.866025404,0.571268215,0.820763441,0.866025404,-0.5,0,1,1,0,0,0,0,1,0,0,0
-4,0,0,1,33.64044,-84.42694,0,0,0,0,0,0,1,35.21401,-80.94313,1,3,23,59,2,-0.004363309,0.999990481,0.5,0.866025404,0.571268215,0.820763441,0.866025404,-0.5,0,0,1,0,0,0,0,1,0,0,0
1,0,0,1,33.64044,-84.42694,0,0,0,1,0,0,0,39.87195,-75.24114,1,3,12,42,2,-0.182235525,-0.983254908,0.5,0.866025404,0.571268215,0.820763441,0.866025404,-0.5,0,1,1,0,0,0,0,1,0,0,0
-14,0,0,1,33.64044,-84.42694,0,0,0,1,0,0,0,39.87195,-75.24114,1,3,10,34,2,0.366501227,-0.930417568,0.5,0.866025404,0.571268215,0.820763441,0.866025404,-0.5,0,0,1,0,0,0,0,1,0,0,0
-13,0,0,1,33.64044,-84.42694,0,0,0,1,0,0,0,39.87195,-75.24114,1,3,17,48,2,-0.998629535,-0.052335956,0.5,0.866025404,0.571268215,0.820763441,0.866025404,-0.5,0,0,1,0,0,0,0,1,0,0,0
-24,0,0,1,33.64044,-84.42694,0,0,0,1,0,0,0,39.87195,-75.24114,1,3,15,8,2,-0.731353702,-0.68199836,0.5,0.866025404,0.571268215,0.820763441,0.866025404,-0.5,0,0,1,0,0,0,0,1,0,0,0
